1,82,0,0.0625,1,1,0
5,83,0.5,0.5625,1,1,0
2,84,0,0.0625,2,1,0
6,85,0.5,0.5625,2,1,0
3,86,0,0.0625,3,1,0
7,87,0.5,0.5625,3,1,0
4,88,0,0.0625,4,1,0
8,89,0.5,0.5625,4,1,0
10,90,0.25,0.3125,1,1,0
11,91,0.75,0.8125,1,1,0
12,92,0.25,0.3125,2,1,0
13,93,0.75,0.8125,2,1,0
14,94,0.25,0.3125,3,1,0
15,95,0.75,0.8125,3,1,0
16,96,0.25,0.3125,4,1,0
17,97,0.75,0.8125,4,1,0
26,98,0.125,0.1875,1,1,0
27,99,0.625,0.6875,1,1,0
28,100,0.125,0.1875,2,1,0
29,101,0.625,0.6875,2,1,0
30,102,0.125,0.1875,3,1,0
31,103,0.625,0.6875,3,1,0
32,104,0.125,0.1875,4,1,0
33,105,0.625,0.6875,4,1,0
34,106,0.375,0.4375,1,1,0
35,107,0.875,0.9375,1,1,0
36,108,0.375,0.4375,2,1,0
37,109,0.875,0.9375,2,1,0
38,110,0.375,0.4375,3,1,0
39,111,0.875,0.9375,3,1,0
40,112,0.375,0.4375,4,1,0
41,113,0.875,0.9375,4,1,0
82,26,0.0625,0.125,1,1,0
83,27,0.5625,0.625,1,1,0
84,28,0.0625,0.125,2,1,0
85,29,0.5625,0.625,2,1,0
86,30,0.0625,0.125,3,1,0
87,31,0.5625,0.625,3,1,0
88,32,0.0625,0.125,4,1,0
89,33,0.5625,0.625,4,1,0
90,34,0.3125,0.375,1,1,0
91,35,0.8125,0.875,1,1,0
92,36,0.3125,0.375,2,1,0
93,37,0.8125,0.875,2,1,0
94,38,0.3125,0.375,3,1,0
95,39,0.8125,0.875,3,1,0
96,40,0.3125,0.375,4,1,0
97,41,0.8125,0.875,4,1,0
98,10,0.1875,0.25,1,1,0
99,11,0.6875,0.75,1,1,0
100,12,0.1875,0.25,2,1,0
101,13,0.6875,0.75,2,1,0
102,14,0.1875,0.25,3,1,0
103,15,0.6875,0.75,3,1,0
104,16,0.1875,0.25,4,1,0
105,17,0.6875,0.75,4,1,0
106,5,0.4375,0.5,1,1,0
107,2,0.9375,1,1,1,0
108,6,0.4375,0.5,2,1,0
109,3,0.9375,1,2,1,0
110,7,0.4375,0.5,3,1,0
111,4,0.9375,1,3,1,0
112,8,0.4375,0.5,4,1,0
113,1,0.9375,1,4,1,0

